Groupe,Libelle,Quantite,Mois,Annee,Marge_unitaire,Benefice,Proportion_benefice,Ratio,Ratio_pondere_benefice,Potentiel_croissance
CLT 7-12,DG-204 Digest,120,9,2020,3.37,404.4,0.00723824,,,
CLT 7-12,DR-104 Dépuratif & Draineur ampoule,1340,9,2020,7.071,9475.14,0.16959282,,,
CLT 7-12,DR-105 Dépuratif & draineur flacon,336,9,2020,6.484,2178.624,0.038994568,,,
CLT 7-12,MC-218 Minceur 3 en 1,608,9,2020,8.763,5327.904,0.095362629,,,
CLT 7-12,MP-115 Minceur plus,240,9,2020,3.99,957.6,0.017139808,,,
CLT 7-12,MV-215 Multivitamines,90,9,2020,3.45,310.5,0.005557551,,,
CLT 7-12,NP-114 Nopal,3240,9,2020,3.71,12020.4,0.215149701,,,
CLT 7-12,PH-216 pH Balance,60,9,2020,6.86,411.6,0.007367111,,,
CLT 7-12,SE-319 Sérénité,30,9,2020,2.98,89.4,0.001600145,,,
CLT 7-12,SPRAY ANTI-FRINGALE,70,9,2020,6.326,442.82,0.007925908,,,
CLT 7-12,Gel minceur 150ml,0,9,2020,5.41,0,0,,,
CLT 7-12,Barre minceur Hyperprotéinée,120,9,2020,2.55,306,0.005477006,,,
CLT 7-12,BISCUITS SAVEUR BEURRE,465,9,2020,1.36,632.4,0.011319147,,,
CLT 7-12,BISCUITS SAVEUR CHOCOLAT,300,9,2020,1.36,408,0.007302675,,,
CLT 7-12,Boules de soja BBQ,80,9,2020,0.47,37.6,0.000672992,,,
CLT 7-12,Boules de soja chocolat,160,9,2020,0.47,75.2,0.001345983,,,
CLT 7-12,Boules de soja Oignons,0,9,2020,0.47,0,0,,,
CLT 7-12,CEREALES CHOCOLAT,522,9,2020,1.07,558.54,0.009997148,,,
CLT 7-12,CEREALES FRUITS ROUGES,186,9,2020,1.05,195.3,0.003495619,,,
CLT 7-12,CEREALES NATURE,66,9,2020,1.29,85.14,0.001523897,,,
CLT 7-12,Chili con carne,20,9,2020,0.89,17.8,0.000318597,,,
