"code_product","year_month_full","amount"
"BOXDIG",2021-10-01,134.66
"BOXDT",2021-10-01,985.93
"BOXESN",2021-10-01,90.41
"BOXESR",2021-10-01,58.77
"BOXH",2021-10-01,476.36
"BOXHAR",2021-10-01,49.12
"BOXSER",2021-10-01,440.02
"BOXV",2021-10-01,367.85
"BOXVIT",2021-10-01,406.09
"BOXVP",2021-10-01,1255.16
"BT4001G",2021-10-01,1309.84
"CA1147",2021-10-01,4209.34
"CA1148V",2021-10-01,26355.47
"CA1159A",2021-10-01,335487.57
"CA1160A",2021-10-01,76720.82
"CA1161V",2021-10-01,7268.37
"CA1162V",2021-10-01,4710.74
"CA1163B",2021-10-01,6124.65
"CA1165A",2021-10-01,54684.74
"CA1166V",2021-10-01,22873.56
"CA1167V",2021-10-01,19078.35
"CA1201A",2021-10-01,60693.81
"CA1202A",2021-10-01,163873.56
"CA1301A",2021-10-01,201838.71
"CA1302A",2021-10-01,369655.58
"CA1303A",2021-10-01,192562.03
"CERCHOC",2021-10-01,22992.8
"CERFRUI",2021-10-01,6212.41
"CERNATU",2021-10-01,3861.39
"GLPSO",2021-10-01,11.72
"GOBDIE",2021-10-01,0
"GOOM002",2021-10-01,11.6
"GOOM003",2021-10-01,12
"GOOM004",2021-10-01,0.89
"GOOM005",2021-10-01,160.02
"NEW1",2021-10-01,109.65
"PP2216",2021-10-01,629.02
"PP2217B",2021-10-01,3562.21
"PP2218B",2021-10-01,2109.29
"PP2224B",2021-10-01,1713.07
"PP2272B",2021-10-01,3967.29
"SACTIS",2021-10-01,0
"AC1160T",2021-11-01,2546.26
"AC1161T",2021-11-01,1533.67
"AC1163T",2021-11-01,6194.24
"AC1201B",2021-11-01,3795.75
"AC1202B",2021-11-01,1864.7
"AC1203B",2021-11-01,1468.36
"AC1204B",2021-11-01,819.52
"AC3104B",2021-11-01,9678.71
"AC3105B",2021-11-01,2086.74
"AC3106B",2021-11-01,667.86
"AC3107B",2021-11-01,411.37
"AC3191B",2021-11-01,202.24
"AC3192B",2021-11-01,13678.9
"AC3193B",2021-11-01,28041.01
"ACCS009",2021-11-01,0
"AR00067",2021-11-01,302.28
"AR00068",2021-11-01,58.38
"AR00069",2021-11-01,56.76
"ART0082",2021-11-01,46.99
"BOXDIG",2021-11-01,88.5
"BOXDT",2021-11-01,1220.85
"BOXFP",2021-11-01,1330.39
"BOXFS",2021-11-01,311.71
"BOXH",2021-11-01,481.78
"BOXHAR",2021-11-01,148.37
"BOXSER",2021-11-01,300.1
"BOXSIL",2021-11-01,233.19
"BOXV",2021-11-01,184.87
"BOXVIT",2021-11-01,51.96
"BOXVP",2021-11-01,2321.96
"BT4001G",2021-11-01,1275.82
"CA1147",2021-11-01,4199.97
"CA1148V",2021-11-01,21252.7
"CA1159A",2021-11-01,289947.16
"CA1160A",2021-11-01,70906.86
"CA1161V",2021-11-01,8813.48
