"code_product","year_month_full","amount"
"CA1302A",2018-06-01,5895.81
"CA1303A",2018-06-01,3791.75
"GOOM002",2018-06-01,0
"PP2216",2018-06-01,5.08
"PP2217B",2018-06-01,33.79
"PP2218B",2018-06-01,18.03
"PP2224B",2018-06-01,46.72
"PP2272B",2018-06-01,29.01
"AC1160T",2018-07-01,35.49
"AC1161T",2018-07-01,44.96
"AC1163T",2018-07-01,115.39
"AC1201B",2018-07-01,83.86
"AC1202B",2018-07-01,11.56
"AC1203B",2018-07-01,12.6
"AC1204B",2018-07-01,33.12
"AC3104B",2018-07-01,145.44
"AC3105B",2018-07-01,1137.31
"AC3106B",2018-07-01,295.2
"AC3107B",2018-07-01,165.61
"AC3192B",2018-07-01,473.88
"AC3193B",2018-07-01,656.43
"ACCS009",2018-07-01,0
"AR00067",2018-07-01,4.16
"AR00068",2018-07-01,1.97
"AR00069",2018-07-01,0
"ART0082",2018-07-01,0
"BOXV",2018-07-01,286.24
"BT4001G",2018-07-01,86.1
"CA1148V",2018-07-01,700.72
"CA1159A",2018-07-01,5588.82
"CA1160A",2018-07-01,1904.2
"CA1161V",2018-07-01,34.11
"CA1162V",2018-07-01,70.41
"CA1163B",2018-07-01,89.83
"CA1165A",2018-07-01,1140.48
"CA1167V",2018-07-01,274.71
"CA1201A",2018-07-01,656.65
"CA1202A",2018-07-01,2920.15
"CA1301A",2018-07-01,1838.39
"CA1302A",2018-07-01,6249.3
"CA1303A",2018-07-01,5992.44
"GOOM002",2018-07-01,0
"GOOM003",2018-07-01,0
"PP2216",2018-07-01,15.01
"PP2217B",2018-07-01,24.28
"PP2218B",2018-07-01,22.14
"PP2224B",2018-07-01,3.61
"PP2272B",2018-07-01,11.96
"SPRAF",2018-07-01,15.95
"AC1160T",2018-08-01,17.06
"AC1161T",2018-08-01,88.92
"AC1163T",2018-08-01,57.34
"AC1201B",2018-08-01,96.92
"AC1202B",2018-08-01,20.87
"AC1203B",2018-08-01,15.94
"AC1204B",2018-08-01,38.33
"AC3104B",2018-08-01,146.8
"AC3105B",2018-08-01,753.39
"AC3106B",2018-08-01,88.96
"AC3107B",2018-08-01,189.84
"AC3192B",2018-08-01,390.97
"AC3193B",2018-08-01,535.86
"ACCS009",2018-08-01,0
"AR00067",2018-08-01,4.16
"AR00068",2018-08-01,2.08
"AR00069",2018-08-01,4.05
"ART0082",2018-08-01,2.08
"BOXV",2018-08-01,208.98
"BT4001G",2018-08-01,105.17
"CA1147",2018-08-01,19.13
"CA1148V",2018-08-01,582.81
"CA1159A",2018-08-01,4805.85
"CA1160A",2018-08-01,1451.65
"CA1161V",2018-08-01,89.83
"CA1162V",2018-08-01,56
"CA1163B",2018-08-01,67.09
"CA1165A",2018-08-01,929.86
"CA1167V",2018-08-01,288.86
"CA1201A",2018-08-01,864.27
"CA1202A",2018-08-01,2185.11
"CA1301A",2018-08-01,2569.45
"CA1302A",2018-08-01,4764.48
"CA1303A",2018-08-01,4396.44
"GOOM002",2018-08-01,0
"GOOM003",2018-08-01,0
"GOOM004",2018-08-01,0
"PP2216",2018-08-01,5.97
"PP2217B",2018-08-01,16.16
"PP2218B",2018-08-01,5.99
"PP2224B",2018-08-01,16.75
"PP2272B",2018-08-01,11.96
"AC1160T",2018-09-01,89.86
"AC1161T",2018-09-01,53.9
"AC1163T",2018-09-01,151.71
"AC1201B",2018-09-01,131.47
"AC1202B",2018-09-01,42.14
"AC1203B",2018-09-01,21.24
"AC1204B",2018-09-01,33.24
"AC3104B",2018-09-01,94.98
"AC3105B",2018-09-01,1071.42
"AC3106B",2018-09-01,220.47
"AC3107B",2018-09-01,278.36
"AC3191B",2018-09-01,24.16
"AC3192B",2018-09-01,451.65
"AC3193B",2018-09-01,903.11
"ACCS009",2018-09-01,0
"AR00067",2018-09-01,10.4
"AR00068",2018-09-01,2.08
"AR00069",2018-09-01,2.08
"ART0082",2018-09-01,2.08
"BOXV",2018-09-01,73.18
"BT4001G",2018-09-01,42.93
"CA1147",2018-09-01,37.92
"CA1148V",2018-09-01,589.7
"CA1159A",2018-09-01,6334.55
"CA1160A",2018-09-01,1658.04
"CA1161V",2018-09-01,65.4
"CA1162V",2018-09-01,251.67
"CA1163B",2018-09-01,192.16
"CA1165A",2018-09-01,1156.32
"CA1166V",2018-09-01,24.08
"CA1167V",2018-09-01,331.72
"CA1201A",2018-09-01,972.84
"CA1202A",2018-09-01,2504.36
"CA1301A",2018-09-01,4867.84
"CA1302A",2018-09-01,6639.75
"CA1303A",2018-09-01,3166.33
"GLPSO",2018-09-01,5.87
"GOOM002",2018-09-01,1.25
"GOOM003",2018-09-01,0
"PP2216",2018-09-01,11.39
"PP2217B",2018-09-01,76.85
"PP2218B",2018-09-01,35.16
"PP2224B",2018-09-01,65.11
"PP2272B",2018-09-01,61.7
"SACTIS",2018-09-01,0
"SPRAF",2018-09-01,19.13
"AC1160T",2018-10-01,133.51
"AC1161T",2018-10-01,34.12
"AC1163T",2018-10-01,155.2
"AC1201B",2018-10-01,125.4
"AC1202B",2018-10-01,94.35
"AC1203B",2018-10-01,42.54
"AC1204B",2018-10-01,91.68
"AC3104B",2018-10-01,148.07
"AC3105B",2018-10-01,1287.52
"AC3106B",2018-10-01,216.48
"AC3107B",2018-10-01,301.12
"AC3192B",2018-10-01,639.15
"AC3193B",2018-10-01,1112.31
"ACCS009",2018-10-01,0
"AR00067",2018-10-01,4.16
"AR00068",2018-10-01,0
"AR00069",2018-10-01,0
"ART0082",2018-10-01,2.08
"BOXV",2018-10-01,77.2
"BT4001G",2018-10-01,86.53
"CA1147",2018-10-01,95.71
"CA1148V",2018-10-01,804.44
"CA1159A",2018-10-01,7206.97
"CA1160A",2018-10-01,1679.12
"CA1161V",2018-10-01,34.11
"CA1162V",2018-10-01,365.01
"CA1163B",2018-10-01,239.26
"CA1165A",2018-10-01,1106.98
"CA1166V",2018-10-01,390.48
"CA1167V",2018-10-01,854.21
"CA1201A",2018-10-01,1761.93
"CA1202A",2018-10-01,3056.14
"CA1301A",2018-10-01,3397.17
"CA1302A",2018-10-01,8619.9
"CA1303A",2018-10-01,4198.22
"GLPSO",2018-10-01,0
"GOOM002",2018-10-01,0
"GOOM003",2018-10-01,0
"PP2216",2018-10-01,18.93
"PP2217B",2018-10-01,49.67
"PP2218B",2018-10-01,15.6
"PP2224B",2018-10-01,54.49
"PP2272B",2018-10-01,61.08
"SPRAF",2018-10-01,0
"AC1160T",2018-11-01,151.98
"AC1161T",2018-11-01,24.26
"AC1163T",2018-11-01,171.85
"AC1201B",2018-11-01,159.81
"AC1202B",2018-11-01,94.56
"AC1203B",2018-11-01,58.8
"AC1204B",2018-11-01,52.07
"AC3104B",2018-11-01,321.25
"AC3105B",2018-11-01,1429.45
"AC3106B",2018-11-01,240.76
"AC3107B",2018-11-01,241.89
"AC3192B",2018-11-01,754.14
"AC3193B",2018-11-01,975.81
"ACCS009",2018-11-01,0
"AR00067",2018-11-01,8.36
"AR00068",2018-11-01,0
"AR00069",2018-11-01,2.08
"ART0082",2018-11-01,2.08
"BT4001G",2018-11-01,58.55
"CA1147",2018-11-01,74.77
"CA1148V",2018-11-01,707.05
"CA1159A",2018-11-01,6685.24
"CA1160A",2018-11-01,1976.12
"CA1161V",2018-11-01,226.69
"CA1162V",2018-11-01,303.36
"CA1163B",2018-11-01,234.63
"CA1165A",2018-11-01,1403.47
"CA1166V",2018-11-01,460.21
"CA1167V",2018-11-01,310.16
"CA1201A",2018-11-01,947.98
"CA1202A",2018-11-01,3020.42
"CA1301A",2018-11-01,3620.61
"CA1302A",2018-11-01,7377.49
"CA1303A",2018-11-01,5225.01
"GLPSO",2018-11-01,5.87
"GOOM002",2018-11-01,0
"GOOM003",2018-11-01,0
"PP2216",2018-11-01,12.04
"PP2217B",2018-11-01,65.05
"PP2218B",2018-11-01,35.38
"PP2224B",2018-11-01,47.37
"PP2272B",2018-11-01,65.67
"AC1160T",2018-12-01,143.49
"AC1161T",2018-12-01,98.94
"AC1163T",2018-12-01,110.34
"AC1201B",2018-12-01,161.42
"AC1202B",2018-12-01,71.87
"AC1203B",2018-12-01,39.2
"AC1204B",2018-12-01,18.5
"AC3104B",2018-12-01,264.86
"AC3105B",2018-12-01,1509.06
"AC3106B",2018-12-01,247.55
"AC3107B",2018-12-01,286.99
"AC3191B",2018-12-01,0
"AC3192B",2018-12-01,579.55
"AC3193B",2018-12-01,952.31
"ACCS009",2018-12-01,0
"AR00067",2018-12-01,2.08
"AR00068",2018-12-01,0
"AR00069",2018-12-01,0
"ART0082",2018-12-01,2.08
"BOXFP",2018-12-01,474.05
"BOXFS",2018-12-01,2438.08
"BT4001G",2018-12-01,64
"CA1147",2018-12-01,18.96
"CA1148V",2018-12-01,339.32
"CA1159A",2018-12-01,8468.58
"CA1160A",2018-12-01,3054.84
"CA1161V",2018-12-01,2148.63
"CA1162V",2018-12-01,316.63
"CA1163B",2018-12-01,169.42
"CA1165A",2018-12-01,1406.78
"CA1166V",2018-12-01,360.69
"CA1167V",2018-12-01,176.7
"CA1201A",2018-12-01,1101.32
"CA1202A",2018-12-01,2753.28
"CA1301A",2018-12-01,2756.61
"CA1302A",2018-12-01,6548.45
"CA1303A",2018-12-01,14686.65
"CERCHOC",2018-12-01,6.63
"GOOM002",2018-12-01,0
"GOOM003",2018-12-01,0
"PP2216",2018-12-01,0
"PP2217B",2018-12-01,40.11
"PP2218B",2018-12-01,27.83
"PP2224B",2018-12-01,40.74
"PP2272B",2018-12-01,83.29
